Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
robocam_2021_04_09_21_29_38_798.jpg;0;1;0;1.70772;100.7197;87.17469;1.26933;56.5936;-0.001017788
robocam_2021_04_09_21_29_38_866.jpg;0;1;0;1.754364;100.7979;87.29217;1.275993;56.57994;-0.001058034
robocam_2021_04_09_21_29_38_933.jpg;0;1;0;1.800008;100.8583;87.38293;1.280862;56.56818;-0.001060545
robocam_2021_04_09_21_29_38_999.jpg;0;1;0;1.860814;100.9203;87.47594;1.283852;56.55669;-0.001085419
robocam_2021_04_09_21_29_39_066.jpg;0;1;0;1.906097;101.0053;87.60349;1.291453;56.54167;-0.001116352
robocam_2021_04_09_21_29_39_133.jpg;0;1;0;1.950426;101.0707;87.70171;1.293691;56.53233;-0.001122865
robocam_2021_04_09_21_29_39_199.jpg;0;1;0;2.011151;101.1378;87.80222;1.299231;56.51944;-0.001146646
robocam_2021_04_09_21_29_39_266.jpg;0;1;0;2.055972;101.2295;87.93967;1.304703;56.50473;-0.001177686
robocam_2021_04_09_21_29_39_333.jpg;0;1;0;2.099828;101.3;88.04531;1.306629;56.49388;-0.001178808
robocam_2021_04_09_21_29_39_399.jpg;0;1;0;2.159089;101.372;88.15313;1.308118;56.48318;-0.001181077
robocam_2021_04_09_21_29_39_466.jpg;0;1;0;2.203951;101.4705;88.3004;1.31583;56.46767;-0.001235016
robocam_2021_04_09_21_29_39_533.jpg;0;1;0;2.247351;101.5459;88.41331;1.316531;56.45667;-0.001234936
robocam_2021_04_09_21_29_39_600.jpg;0;1;0;2.306494;101.623;88.52849;1.322285;56.44524;-0.001264188
robocam_2021_04_09_21_29_39_667.jpg;0;1;0;2.350379;101.7279;88.6853;1.321882;56.43;-0.001258957
robocam_2021_04_09_21_29_39_733.jpg;0;1;0;2.393803;101.8084;88.80549;1.326668;56.41846;-0.001292319
robocam_2021_04_09_21_29_39_800.jpg;0;1;0;2.451504;101.8904;88.92786;1.333828;56.4073;-0.00131386
robocam_2021_04_09_21_29_39_866.jpg;0;1;0;2.494937;102.0019;89.09418;1.33193;56.39174;-0.001311591
robocam_2021_04_09_21_29_39_933.jpg;0;1;0;2.537896;102.0872;89.22145;1.333951;56.37986;-0.001319304
robocam_2021_04_09_21_29_40_000.jpg;0;1;0;2.594943;102.1741;89.35087;1.337953;56.36813;-0.001338602
robocam_2021_04_09_21_29_40_067.jpg;0;1;0;2.637577;102.2921;89.52673;1.344624;56.35258;-0.001360889
robocam_2021_04_09_21_29_40_134.jpg;0;1;0;2.68009;102.3823;89.66106;1.349234;56.34103;-0.001392891
robocam_2021_04_09_21_29_40_201.jpg;0;1;0;2.736582;102.474;89.79746;1.352602;56.32958;-0.001413549
robocam_2021_04_09_21_29_40_267.jpg;0;1;0;2.778793;102.5984;89.98254;1.354595;56.31421;-0.001417847
robocam_2021_04_09_21_29_40_334.jpg;0;1;0;2.820855;102.6934;90.12375;1.354455;56.30241;-0.001408266
robocam_2021_04_09_21_29_40_400.jpg;0;1;0;2.876686;102.7899;90.26708;1.357518;56.29135;-0.0009775517
robocam_2021_04_09_21_29_40_467.jpg;0;1;0;2.918109;102.9207;90.4614;1.365773;56.27187;-0.001453455
robocam_2021_04_09_21_29_40_534.jpg;0;1;0;2.959723;103.0205;90.60948;1.367646;56.25939;-0.001469202
robocam_2021_04_09_21_29_40_601.jpg;0;1;0;3.014989;103.1217;90.75954;1.36616;56.24704;-0.001471016
robocam_2021_04_09_21_29_40_668.jpg;0;1;0;3.055952;103.2588;90.9629;1.373079;56.22837;-0.001480415
robocam_2021_04_09_21_29_40_734.jpg;0;1;0;3.097104;103.3633;91.11776;1.37681;56.21603;-0.001061227
robocam_2021_04_09_21_29_40_801.jpg;0;1;0;3.151461;103.4693;91.27462;1.381341;56.20016;-0.001526057
robocam_2021_04_09_21_29_40_868.jpg;0;1;0;3.192315;103.6126;91.48682;1.382711;56.18329;-0.001076575
robocam_2021_04_09_21_29_40_934.jpg;0;1;0;3.232707;103.7218;91.64828;1.384301;56.16711;-0.001548984
robocam_2021_04_09_21_29_41_001.jpg;0;1;0;3.28647;103.8324;91.81181;1.3905;56.15166;-0.001550883
robocam_2021_04_09_21_29_41_068.jpg;0;1;0;3.326884;103.9821;92.03284;1.394282;56.13186;-0.001468472
robocam_2021_04_09_21_29_41_135.jpg;0;1;0;3.366852;104.0959;92.2009;1.397158;56.1173;-0.001138739
robocam_2021_04_09_21_29_41_201.jpg;0;1;0;3.420043;104.2111;92.37086;1.398135;56.10015;-0.001605039
robocam_2021_04_09_21_29_41_268.jpg;0;1;0;3.459702;104.367;92.60062;1.405117;56.07955;-0.001162469
robocam_2021_04_09_21_29_41_335.jpg;0;1;0;3.49924;104.4854;92.7751;1.406147;56.06169;-0.001639793
robocam_2021_04_09_21_29_41_401.jpg;0;1;0;3.551867;104.6053;92.95155;1.408801;56.04507;-0.001647187
robocam_2021_04_09_21_29_41_469.jpg;0;1;0;3.591104;104.7672;93.18982;1.414695;56.02306;-0.001199651
robocam_2021_04_09_21_29_41_535.jpg;0;1;0;3.630215;104.8903;93.37072;1.41772;56.00535;-0.001207605
robocam_2021_04_09_21_29_41_602.jpg;0;1;0;3.682673;105.0147;93.55354;1.423446;55.98582;-0.001583919
robocam_2021_04_09_21_29_41_669.jpg;0;1;0;3.721108;105.1828;93.80014;1.42373;55.9622;-0.001609166
